y_pred_test,y_true_test,test_mse,test_rmse,test_r2_score,test_explained_variance,test_MAPE,test_sMAPE,base_model_path
553716.0493945734,646662.7996000000,,,,,,,
638642.1547484293,673046.7080000000,,,,,,,
742396.5252194612,653421.6783000000,,,,,,,
735633.0187209082,753609.2054000000,,,,,,,
784963.3628138932,858097.8668000000,,,,,,,
814394.7060490076,820283.3726999999,,,,,,,
759315.1596190004,626076.4034000000,,,,,,,
548864.3083415264,631722.7530000000,,,,,,,
620857.0173169747,665271.2371000000,,,,,,,
733847.1014022685,643464.7530000000,,,,,,,
728096.8695030707,758086.2028000000,,,,,,,
793148.0186959188,864920.2160000000,,,,,,,
825930.2935566962,837029.0661000001,,,,,,,
780898.7386623014,619457.0790000000,,,,,,,
548625.6059836724,624217.1147000000,,,,,,,
622380.1191822928,642763.5419000000,,,,,,,
724133.5414082386,644482.9968000000,,,,,,,
743007.1506148538,747809.6409999999,,,,,,,
796549.3244005378,909702.7482000000,,,,,,,
880828.9540879931,847751.0997000000,,,,,,,
798320.5165865581,652863.1166000000,,,,,,,
584758.7807839757,612087.3942000000,,,,,,,
619078.0072032788,630068.7640000000,,,,,,,
720100.1210763176,670846.6228000000,,,,,,,
778224.6720789368,761217.6846000000,,,,,,,
813309.0204272108,863227.5778000000,,,,,,,
835118.3468033265,849729.1466000000,,,,,,,
803293.4714066440,655679.6859000000,,,,,,,
589325.3762844367,634997.5233000000,,,,,,,
631686.6383527792,656036.9706000000,,,,,,,
732554.5009729842,655721.1729000000,,,,,,,
748288.6657648707,732848.8894000000,,,,,,,
773702.7362178820,845252.8336000000,,,,,,,
810498.1400952304,842828.6397000001,,,,,,,
790154.1800778159,674454.0105000000,,,,,,,
599961.2684636693,655625.1624000000,,,,,,,
642215.7725253194,653805.0422000000,,,,,,,
720378.3903968997,673501.3003000000,,,,,,,
759251.5567629028,785076.9075000000,,,,,,,
820240.0820778062,828818.0125000000,,,,,,,
788414.1853006398,898437.3736000000,,,,,,,
842703.3499997854,666738.2940000000,,,,,,,
593511.3151407391,644384.8857000000,,,,,,,
633605.8645382526,647132.7701000000,,,,,,,
723903.8938030947,666290.4787000000,,,,,,,
763573.7057992913,758350.3890000000,,,,,,,
806448.1356538973,843611.1877000000,,,,,,,
816922.0528598913,865972.7938000000,,,,,,,
823912.0180365623,650525.2971000000,,,,,,,
590513.4035994911,635307.1583000000,,,,,,,
639451.7781316115,626953.0917000000,,,,,,,
715759.4344544602,718993.9772000000,,,,,,,
824282.3007015821,779093.3274000000,,,,,,,
838294.0154211018,897476.7679000000,,,,,,,
874832.1147258248,917975.3401000000,,,,,,,
877672.9936561382,641158.6901000000,,,,,,,
580158.7580106950,670170.9818000000,,,,,,,
675047.3178207213,655382.0535000000,,,,,,,
744591.0154328771,673084.6121000000,,,,,,,
776353.4766637706,779265.5273000000,,,,,,,
831037.0172730339,888952.5951000000,,,,,,,
860531.2222687845,885488.4397000000,,,,,,,
836177.2846851479,692048.0353000000,,,,,,,
621416.7461970089,675881.7372000000,,,,,,,
667649.1662822667,692033.8991000000,,,,,,,
764094.5158894063,687231.7648000000,,,,,,,
776507.6649990516,806001.7552000000,,,,,,,
843947.7357873196,871277.7861000000,,,,,,,
833372.8194037958,896026.7235000000,,,,,,,
841014.0908707351,684697.0106000000,,,,,,,
612699.9733457337,731118.8192000000,,,,,,,
720477.5943907251,690130.4122000000,,,,,,,
760256.8255033419,708381.9333000000,,,,,,,
796543.8707211143,769303.9935000000,,,,,,,
813428.7737062136,844673.7399000000,,,,,,,
817426.7701769501,916475.8986000000,,,,,,,
876005.3929106930,657096.7230999999,,,,,,,
597374.4872839171,668718.6047000000,,,,,,,
672355.5723439149,728890.4453000000,,,,,,,
816956.7554491598,696703.4932000000,,,,,,,
798441.7445294337,786554.4210000000,,,,,,,
837794.1392863807,938583.2898000000,,,,,,,
916217.9931529029,934851.0639000000,,,,,,,
905015.0009803550,741903.1213999999,,,,,,,
687923.2081749823,742939.6855000000,,,,,,,
751100.0970735188,717529.1856000000,,,,,,,
805851.0515787428,684646.5598000000,,,,,,,
792748.3104780189,809008.2650000000,,,,,,,
870583.3822166496,926579.6960999999,,,,,,,
910602.1569037435,895554.2361000000,,,,,,,
857299.9970683766,718823.4831000000,,,,,,,
660125.3609187180,748169.2916000000,,,,,,,
750718.2883041935,748091.7204000000,,,,,,,
825485.4898545373,744937.5963000000,,,,,,,
836272.6796359655,825534.3088999999,,,,,,,
867661.4395338055,936206.2635000000,,,,,,,
903318.3495779728,925515.8240000000,,,,,,,
875523.3134162060,706213.0418000000,,,,,,,
637952.8968820521,773098.2174000000,,,,,,,
768648.9520948072,762058.8391000000,,,,,,,
835522.1274242789,721898.8522000000,,,,,,,
810629.8786722682,850502.6605999999,,,,,,,
894772.9157618284,956616.6397000001,,,,,,,
927254.9935434548,1000467.3130000000,,,,,,,
950018.2485179207,739226.6064000000,,,,,,,
669382.8150779938,749718.5418000000,,,,,,,
746130.3134707264,786440.9091000000,,,,,,,
868764.7118785924,849976.4650000000,,,,,,,
944933.7900703512,1222322.3419999999,,,,,,,
1249979.7023383609,1720659.0740000000,,,,,,,
1628091.3813874980,2415464.7930000001,,,,,,,
2218936.6713217245,2308871.2790000001,,,,,,,
1992197.6496688928,2235191.1919999998,,,,,,,
1914147.0039105252,1950870.2790000001,,,,,,,
1701494.8036843096,1333756.7579999999,,,,,,,
1157413.8929411708,1145144.7250000001,,,,,,,
1010675.6739245371,987985.9047000000,,,,,,,
867576.1000036052,1015509.4669999999,,,,,,,
923666.9029608192,743032.1872000000,,,,,,,
653980.6076139592,801504.9764000000,,,,,,,
775864.7915567550,746808.9505000000,,,,,,,
803824.4866260312,735650.8294000000,,,,,,,
808736.6696371468,791569.9776000000,,,,,,,
821367.3751749329,889035.3882000000,,,,,,,
846455.1514646447,852006.4727000000,,,,,,,
795808.2815156952,642977.6740000000,,,,,,,
570656.0630992936,663448.8678000000,,,,,,,
657111.3095155002,632629.4562000000,,,,,,,
707155.1486339662,656626.9615000000,,,,,,,
748884.6414690058,750880.7707000000,,,,,,,
795091.9907199001,864927.0233999999,,,,,,,
831725.0546277196,899169.2624000000,,,,,,,
846972.1046997873,673460.4697000000,,,,,,,
600187.8087888127,651452.4672000000,,,,,,,
643093.6323725532,628906.8427000000,,,,,,,
708412.2540246153,639728.2070000001,,,,,,,
742286.2723619865,766401.1139000000,,,,,,,
821514.7336110494,850657.7203000000,,,,,,,
828789.6920222503,901954.3551000000,,,,,,,
860776.3934816138,679441.7718000000,,,,,,,
618324.5231870968,673777.5261000000,,,,,,,
674780.7798111850,661417.9724000000,,,,,,,
747341.9447866860,688990.8025000000,,,,,,,
793726.5751419076,817635.2712000000,,,,,,,
870849.1035828725,888171.8365000000,,,,,,,
871973.1580330599,904591.3124000001,,,,,,,
869363.0784645143,704033.5420000000,,,,,,,
650128.8513680818,713300.6554000000,,,,,,,
719801.5037430625,687848.1884000000,,,,,,,
774210.2495139077,685149.9353000000,,,,,,,
789208.1962641242,788319.2815000000,,,,,,,
843837.0008444766,938498.9743999999,,,,,,,
914350.0114660239,949435.4328000000,,,,,,,
900391.0059088070,705587.9092000000,,,,,,,
632078.3791614668,756930.2038000000,,,,,,,
746236.5991578269,685275.0317000001,,,,,,,
756443.8040290634,722109.4994000000,,,,,,,
810402.1202309103,802677.0346000000,,,,,,,
844909.2940716489,920987.1175000001,,,,,,,
884666.6726307210,881190.6967000000,,,,,,,
828557.0647575632,692773.4374000001,,,,,,,
622966.6805096848,685399.9675000000,,,,,,,
682439.2346060846,737668.6605000000,,,,,,,
814391.1419377513,687664.5307999999,,,,,,,
781286.6289119981,804011.0965000000,,,,,,,
849065.5815683862,920750.8119000000,,,,,,,
893905.2437607651,948807.9961000000,,,,,,,
901717.9073940228,724286.4049000000,,,,,,,
656872.1373579568,667980.0278000000,,,,,,,
667457.0070616247,726180.2483000000,,,,,,,
813318.3394570005,681809.2402999999,,,,,,,
789604.8886169560,778745.6952000000,,,,,,,
837333.7646106813,890208.6064000000,,,,,,,
879110.0670151138,964131.9314999999,,,,,,,
930966.8202327512,710600.7115000000,,,,,,,
651964.1644063268,722169.4898000000,,,,,,,
723443.5708086765,713680.2976000000,,,,,,,
798709.7720099736,720358.9508000000,,,,,,,
820995.8666466555,861808.2332000000,,,,,,,
910070.2885805225,922031.6098000000,,,,,,,
889808.5401459232,922108.7355000000,,,,,,,
870043.7818041366,699203.0596000000,,,,,,,
630913.0249441416,704145.4828999999,,,,,,,
699550.0292558683,712356.1682000000,,,,,,,
788837.7217782224,693154.1565000000,,,,,,,
785910.6762765975,831353.0100000000,,,,,,,
873696.4040749007,872082.2308000000,,,,,,,
838711.4015645678,915991.2730000000,,,,,,,
864880.1214082594,732770.1389000000,,,,,,,
663736.6870779212,697531.4974000000,,,,,,,
688439.0134283098,742743.6420000000,,,,,,,
815639.3608774100,684437.3379000000,,,,,,,
777684.8036420745,853972.2781000000,,,,,,,
897985.9456847655,893792.1975000000,,,,,,,
864834.9264701633,985703.7112000000,,,,,,,
936176.9950298604,685363.3116000000,,,,,,,
619598.4539559962,712612.6867000000,,,,,,,
711601.3000892100,712092.4105999999,,,,,,,
800304.7311785149,663448.0051000000,,,,,,,
770253.9781946198,823140.8450000000,,,,,,,
883979.0122139625,927843.9857000000,,,,,,,
912434.8115859154,908723.0611000000,,,,,,,
870856.6005814858,732050.4042000000,,,,,,,
675748.4224019749,706336.7973000000,,,,,,,
706283.4676736726,708280.4328000000,,,,,,,
788898.6584849267,686723.0826000000,,,,,,,
787171.1778244784,784200.8500000000,,,,,,,
836120.4749016094,937829.7208000000,,,,,,,
912519.8957871207,1040600.0800000000,,,,,,,
987226.7250793576,836262.5741000000,,,,,,,
748303.6257620774,905867.3300000000,,,,,,,
867973.6773328222,1020388.4449999999,,,,,,,
1051553.3082886827,1062434.6760000000,,,,,,,
1091534.3351677230,1170907.4970000000,,,,,,,
1134901.4083890924,1291286.5140000000,,,,,,,
1172752.6244504985,1154771.9480000001,,,,,,,
1019943.9351566852,760163.5130000000,,,,,,,
623526.4243076986,760327.3520000000,,,,,,,
716370.8108921377,709523.2578000000,,,,,,,
766024.9935231932,725949.6536000000,,,,,,,
804444.6849764166,783839.3551000000,,,,,,,
818498.5902235851,900127.7517000000,,,,,,,
861541.7557449618,866100.8448000000,,,,,,,
814475.7728603068,664204.9834000000,,,,,,,
596731.6670255639,705632.2678000000,,,,,,,
704780.6673247642,664718.7136000000,,,,,,,
744699.1965081868,703658.7251000000,,,,,,,
801586.0095408693,805227.0456000000,,,,,,,
855745.7837987415,855319.1351000000,,,,,,,
829774.7174670392,872880.0955000001,,,,,,,
834450.6927572383,673778.3400000000,,,,,,,
620355.5457242823,715786.7806000001,,,,,,,
723285.3961100022,664192.5522000000,,,,,,,
751414.0137532218,773241.2595000000,,,,,,,
865354.9599967349,933056.3292000000,,,,,,,
967953.1215767888,1060764.9199999999,,,,,,,
1002657.5913744707,987182.4640000000,,,,,,,
904957.0872817633,715757.7857000000,,,,,,,
619985.4588113662,702603.0592000000,,,,,,,
682095.4504690780,700463.6241000000,,,,,,,
766977.7498433152,724759.2709000000,,,,,,,
807674.0318178490,853805.6076000000,,,,,,,
882635.9565170327,1040806.9440000000,,,,,,,
983919.7518132019,1022860.5310000000,,,,,,,
936809.6947603801,778088.0766000000,,,,,,,
667271.5095725555,720654.1881000000,,,,,,,
679998.0769174534,695326.1253000000,,,,,,,
745177.5035817461,674919.5198000000,,,,,,,
750350.6691452081,799604.9368000000,,,,,,,
828955.7479056775,950207.5742000000,,,,,,,
901652.9272513620,953059.7903000000,,,,,,,
880393.9791529799,765212.5755000000,,,,,,,
669281.5655947744,772228.5339000000,,,,,,,
739296.6010253114,747533.5531000000,,,,,,,
796390.3675245172,717430.7504000000,,,,,,,
788412.3484185458,779045.5887000000,,,,,,,
808929.3582061143,894633.1753000000,,,,,,,
855893.6862201132,881167.9115000000,,,,,,,
828757.3809774298,706875.3753000000,,,,,,,
635860.6957498486,765302.3235000001,,,,,,,
755675.2651772259,807745.3321000000,,,,,,,
