Trial,refitting_cycle,process_time_s,real_time_s,params,note
28,,0.7616709999999998,0.34808921813964844,"{'standardize_X': True, 'alpha_1': 411.10750436029423, 'alpha_2': 12.137941168666039, 'lambda_1': 0.0001, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
29,,0.7224199999999996,0.33887600898742676,"{'standardize_X': True, 'alpha_1': 965.6482791446289, 'alpha_2': 65.10060130871278, 'lambda_1': 0.0001, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
30,,nan,nan,"{'standardize_X': True, 'alpha_1': 412.5867264200142, 'alpha_2': 5.749125796198406, 'lambda_1': 10, 'lambda_2': 1e-06, 'threshold_lambda': 1000000.0}",pruned
31,,0.9290949999999967,0.423504114151001,"{'standardize_X': True, 'alpha_1': 78.5018735616035, 'alpha_2': 12.98494695960266, 'lambda_1': 0.0001, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
32,,nan,nan,"{'standardize_X': True, 'alpha_1': 306.57259361797384, 'alpha_2': 5.526990416711071, 'lambda_1': 0.1, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",pruned
33,,0.8354629999999972,0.38495492935180664,"{'standardize_X': True, 'alpha_1': 315.7464279957294, 'alpha_2': 19.35245198660057, 'lambda_1': 0.0001, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
34,,0.7702419999999961,0.35589599609375,"{'standardize_X': True, 'alpha_1': 455.21625221820267, 'alpha_2': 30.9372254724776, 'lambda_1': 0.0001, 'lambda_2': 1, 'threshold_lambda': 1000000.0}",successful
35,,0.8874680000000055,0.3965480327606201,"{'standardize_X': True, 'alpha_1': 132.9097377135573, 'alpha_2': 2.65215095151564, 'lambda_1': 0.0001, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
36,,1.1505739999999989,0.5785961151123047,"{'standardize_X': True, 'alpha_1': 91.10805275894869, 'alpha_2': 73.12580166671167, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
37,,nan,nan,"{'standardize_X': True, 'alpha_1': 302.7061735361565, 'alpha_2': 2.0059878639235595, 'lambda_1': 0.0001, 'lambda_2': 1e-06, 'threshold_lambda': 100.0}",pruned
38,,nan,nan,"{'standardize_X': True, 'alpha_1': 16.96394516683062, 'alpha_2': 6.269055157713943, 'lambda_1': 0.1, 'lambda_2': 0.0001, 'threshold_lambda': 1000000.0}",pruned
39,,nan,nan,"{'standardize_X': True, 'alpha_1': 59.5402275245889, 'alpha_2': 0.7285266024901538, 'lambda_1': 0.001, 'lambda_2': 0.001, 'threshold_lambda': 1000.0}",pruned
40,,nan,nan,"{'standardize_X': True, 'alpha_1': 633.2557922330182, 'alpha_2': 404.7968990796287, 'lambda_1': 10, 'lambda_2': 10, 'threshold_lambda': 100000.0}",pruned
41,,0.8374529999999965,0.5034470558166504,"{'standardize_X': True, 'alpha_1': 236.4010438092681, 'alpha_2': 10.922743402892593, 'lambda_1': 0.0001, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
42,,1.1426550000000049,0.7052638530731201,"{'standardize_X': True, 'alpha_1': 214.2672496873807, 'alpha_2': 28.19503520144654, 'lambda_1': 0.0001, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
43,,0.7869639999999976,0.3741950988769531,"{'standardize_X': True, 'alpha_1': 484.0209679239984, 'alpha_2': 9.090280242756846, 'lambda_1': 0.0001, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
44,,1.1324109999999976,0.4835348129272461,"{'standardize_X': True, 'alpha_1': 293.34480886151226, 'alpha_2': 92.29936218176671, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
45,,1.278500000000001,0.5372300148010254,"{'standardize_X': True, 'alpha_1': 101.21995971689755, 'alpha_2': 76.46620796345088, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
46,,0.8744860000000045,0.4073920249938965,"{'standardize_X': True, 'alpha_1': 910.8190770693736, 'alpha_2': 297.40272927856233, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
47,,1.0887950000000046,0.47342896461486816,"{'standardize_X': True, 'alpha_1': 446.8082355572518, 'alpha_2': 407.68164413969976, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
48,,nan,nan,"{'standardize_X': True, 'alpha_1': 560.8133553830891, 'alpha_2': 378.8379113410403, 'lambda_1': 0.01, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",pruned
49,,nan,nan,"{'standardize_X': False, 'alpha_1': 157.30860937231515, 'alpha_2': 40.16697895951019, 'lambda_1': 1, 'lambda_2': 1, 'threshold_lambda': 100000.0}",pruned
50,,1.2545549999999963,0.5428588390350342,"{'standardize_X': True, 'alpha_1': 46.45697622623057, 'alpha_2': 454.00430324591775, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
51,,0.9971440000000058,0.4526548385620117,"{'standardize_X': True, 'alpha_1': 368.7778927581866, 'alpha_2': 79.99745860464671, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
52,,0.9816270000000031,0.4378018379211426,"{'standardize_X': True, 'alpha_1': 419.25189149697735, 'alpha_2': 115.78858637077757, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
53,,1.2852679999999879,0.5461738109588623,"{'standardize_X': True, 'alpha_1': 114.83563699585538, 'alpha_2': 114.83196356891328, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
54,,0.9275169999999946,0.42772912979125977,"{'standardize_X': True, 'alpha_1': 586.4176983804116, 'alpha_2': 217.7757365092015, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
55,,0.8719299999999919,0.4034130573272705,"{'standardize_X': True, 'alpha_1': 990.4650692586364, 'alpha_2': 45.62181061288628, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
56,,1.111970999999997,0.501417875289917,"{'standardize_X': True, 'alpha_1': 457.5953211565344, 'alpha_2': 546.3614017953158, 'lambda_1': 1e-06, 'lambda_2': 0.1, 'threshold_lambda': 100.0}",successful
57,,8.06941900000001,2.87432599067688,"{'standardize_X': False, 'alpha_1': 166.79797442134284, 'alpha_2': 189.8744287475745, 'lambda_1': 1e-06, 'lambda_2': 0.0001, 'threshold_lambda': 100.0}",successful
58,,0.6004160000000098,0.3127310276031494,"{'standardize_X': True, 'alpha_1': 96.15011213124684, 'alpha_2': 124.00185427381778, 'lambda_1': 0.001, 'lambda_2': 0.1, 'threshold_lambda': 100000.0}",successful
59,,nan,nan,"{'standardize_X': True, 'alpha_1': 32.10849162758921, 'alpha_2': 255.73442109396967, 'lambda_1': 0.01, 'lambda_2': 0.001, 'threshold_lambda': 100.0}",pruned
60,,0.999139999999997,0.4653029441833496,"{'standardize_X': True, 'alpha_1': 261.98401419679175, 'alpha_2': 94.68244390685511, 'lambda_1': 1e-05, 'lambda_2': 0.1, 'threshold_lambda': 100000.0}",successful
61,,nan,nan,"{'standardize_X': True, 'alpha_1': 336.8913343452384, 'alpha_2': 27.129996477418103, 'lambda_1': 1, 'lambda_2': 10, 'threshold_lambda': 100.0}",pruned
62,,0.959265000000002,0.47072529792785645,"{'standardize_X': True, 'alpha_1': 671.9134795198854, 'alpha_2': 49.0168760718896, 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'threshold_lambda': 1000000.0}",successful
63,,nan,nan,"{'standardize_X': True, 'alpha_1': 348.40162328237227, 'alpha_2': 21.690720731926834, 'lambda_1': 0.1, 'lambda_2': 10, 'threshold_lambda': 100.0}",pruned
64,,1.0122640000000018,0.4645419120788574,"{'standardize_X': True, 'alpha_1': 192.46604736409193, 'alpha_2': 56.071305835362566, 'lambda_1': 1e-05, 'lambda_2': 0.1, 'threshold_lambda': 100000.0}",successful
65,,nan,nan,"{'standardize_X': True, 'alpha_1': 617.7399377351398, 'alpha_2': 171.3445544929919, 'lambda_1': 10, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",pruned
66,,3.3821179999999913,1.277522087097168,"{'standardize_X': False, 'alpha_1': 984.6166760295652, 'alpha_2': 521.3050881862082, 'lambda_1': 1e-05, 'lambda_2': 1, 'threshold_lambda': 100.0}",successful
67,,0.9564780000000042,0.4459671974182129,"{'standardize_X': True, 'alpha_1': 128.1860999152571, 'alpha_2': 105.28365794693546, 'lambda_1': 0.0001, 'lambda_2': 10, 'threshold_lambda': 1000000.0}",successful
68,,0.9827549999999974,0.4451918601989746,"{'standardize_X': True, 'alpha_1': 436.9567780998785, 'alpha_2': 21.082067650755835, 'lambda_1': 1e-06, 'lambda_2': 1e-05, 'threshold_lambda': 1000000.0}",successful
